,dataset,matrix,sibling_count,data_size,vocab_size,config,is_pre
0,Benign,blosum62,1244,30727,800,0.7_3_12_0,False
1,Benign,blosum62,4868,30727,51200,0.7_3_12_0.1,False
2,Benign,blosum62,664,30727,1600,0.8_3_12_0.2,False
3,Benign,blosum62,2571,30727,51200,0.8_3_12_0.2,False
4,Benign,blosum62,415,30727,800,0.8_3_12_0.005,False
5,Benign,blosum62,290,30727,800,0.9_3_12_0,False
6,Benign,blosum62,548,30727,1600,0.9_3_12_0.005,False
7,Benign,blosum62,290,30727,800,0.9_3_12_0.05,False
8,Benign,blosum62,1271,30727,51200,0.9_3_12_0.1,False
9,Benign,blosum62,4944,30727,51200,0.7_3_12_0.05,False
10,Benign,blosum62,793,30727,1600,0.8_3_12_0.1,False
11,Benign,blosum62,1333,30727,800,0.7_3_12_0.1,False
12,Benign,blosum62,3531,30727,6400,0.7_3_12_0.1,False
13,Benign,blosum62,2162,30727,12800,0.8_3_12_0,False
14,Benign,blosum62,4528,30727,25600,0.7_3_12_0,False
15,Benign,blosum62,2167,30727,12800,0.8_3_12_0.005,False
16,Benign,blosum62,3021,30727,3200,0.7_3_12_0.1,False
17,Benign,blosum62,2716,30727,3200,0.7_3_12_0.2,False
18,Benign,blosum62,282,30727,800,0.9_3_12_0.2,False
19,Benign,blosum62,1023,30727,12800,0.9_3_12_0.05,False
20,Benign,blosum62,5005,30727,51200,0.7_3_12_0.005,False
21,Benign,blosum62,2203,30727,1600,0.7_3_12_0,False
22,Benign,blosum62,409,30727,800,0.8_3_12_0,False
23,Benign,blosum62,3198,30727,6400,0.7_3_12_0.2,False
24,Benign,blosum62,5001,30727,51200,0.7_3_12_0,False
25,Benign,blosum62,1293,30727,800,0.7_3_12_0.05,False
26,Benign,blosum62,1263,30727,3200,0.8_3_12_0.05,False
27,Benign,blosum62,4529,30727,25600,0.7_3_12_0.005,False
28,Benign,blosum62,782,30727,1600,0.8_3_12_0.005,False
29,Benign,blosum62,1696,30727,6400,0.8_3_12_0.05,False
30,Benign,blosum62,703,30727,3200,0.9_3_12_0,False
31,Benign,blosum62,1016,30727,12800,0.9_3_12_0,False
32,Benign,blosum62,2125,30727,12800,0.8_3_12_0.1,False
33,Benign,blosum62,4507,30727,25600,0.7_3_12_0.1,False
34,Benign,blosum62,825,30727,6400,0.9_3_12_0.2,False
35,Benign,blosum62,684,30727,3200,0.9_3_12_0.2,False
36,Benign,blosum62,3656,30727,12800,0.7_3_12_0.2,False
37,Benign,blosum62,2222,30727,25600,0.8_3_12_0.2,False
38,Benign,blosum62,1016,30727,12800,0.9_3_12_0.005,False
39,Benign,blosum62,548,30727,1600,0.9_3_12_0.05,False
40,Benign,blosum62,852,30727,6400,0.9_3_12_0,False
41,Benign,blosum62,2956,30727,3200,0.7_3_12_0.005,False
42,Benign,blosum62,698,30727,3200,0.9_3_12_0.1,False
43,Benign,blosum62,1176,30727,25600,0.9_3_12_0.1,False
44,Benign,blosum62,1258,30727,3200,0.8_3_12_0,False
45,Benign,blosum62,2174,30727,12800,0.8_3_12_0.05,False
46,Benign,blosum62,991,30727,12800,0.9_3_12_0.2,False
47,Benign,blosum62,330,30727,800,0.8_3_12_0.2,False
48,Benign,blosum62,1692,30727,6400,0.8_3_12_0,False
49,Benign,blosum62,2251,30727,1600,0.7_3_12_0.05,False
50,Benign,blosum62,849,30727,6400,0.9_3_12_0.1,False
51,Benign,blosum62,3496,30727,6400,0.7_3_12_0.005,False
52,Benign,blosum62,4523,30727,25600,0.7_3_12_0.05,False
53,Benign,blosum62,1039,30727,3200,0.8_3_12_0.2,False
54,Benign,blosum62,4036,30727,12800,0.7_3_12_0,False
55,Benign,blosum62,2642,30727,25600,0.8_3_12_0,False
56,Benign,blosum62,2639,30727,25600,0.8_3_12_0.005,False
57,Benign,blosum62,419,30727,800,0.8_3_12_0.1,False
58,Benign,blosum62,1409,30727,6400,0.8_3_12_0.2,False
59,Benign,blosum62,1663,30727,6400,0.8_3_12_0.1,False
60,Benign,blosum62,703,30727,3200,0.9_3_12_0.005,False
61,Benign,blosum62,1181,30727,25600,0.9_3_12_0.05,False
62,Benign,blosum62,852,30727,6400,0.9_3_12_0.005,False
63,Benign,blosum62,1242,30727,3200,0.8_3_12_0.1,False
64,Benign,blosum62,4398,30727,51200,0.7_3_12_0.2,False
65,Benign,blosum62,1305,30727,51200,0.9_3_12_0.005,False
66,Benign,blosum62,290,30727,800,0.9_3_12_0.005,False
67,Benign,blosum62,2308,30727,1600,0.7_3_12_0.1,False
68,Benign,blosum62,1307,30727,51200,0.9_3_12_0,False
69,Benign,blosum62,2985,30727,51200,0.8_3_12_0.1,False
70,Benign,blosum62,3065,30727,51200,0.8_3_12_0.05,False
71,Benign,blosum62,2944,30727,3200,0.7_3_12_0,False
72,Benign,blosum62,1227,30727,51200,0.9_3_12_0.2,False
73,Benign,blosum62,2096,30727,1600,0.7_3_12_0.2,False
74,Benign,blosum62,1273,30727,800,0.7_3_12_0.005,False
75,Benign,blosum62,3462,30727,6400,0.7_3_12_0,False
76,Benign,blosum62,290,30727,800,0.9_3_12_0.1,False
77,Benign,blosum62,1812,30727,12800,0.8_3_12_0.2,False
78,Benign,blosum62,4093,30727,25600,0.7_3_12_0.2,False
79,Benign,blosum62,1186,30727,25600,0.9_3_12_0.005,False
80,Benign,blosum62,1184,30727,25600,0.9_3_12_0,False
81,Benign,blosum62,4036,30727,12800,0.7_3_12_0.1,False
82,Benign,blosum62,2572,30727,25600,0.8_3_12_0.1,False
83,Benign,blosum62,4030,30727,12800,0.7_3_12_0.05,False
84,Benign,blosum62,1695,30727,6400,0.8_3_12_0.005,False
85,Benign,blosum62,1139,30727,25600,0.9_3_12_0.2,False
86,Benign,blosum62,1208,30727,800,0.7_3_12_0.2,False
87,Benign,blosum62,2635,30727,25600,0.8_3_12_0.05,False
88,Benign,blosum62,784,30727,1600,0.8_3_12_0.05,False
89,Benign,blosum62,1259,30727,3200,0.8_3_12_0.005,False
90,Benign,blosum62,1018,30727,12800,0.9_3_12_0.1,False
91,Benign,blosum62,3088,30727,51200,0.8_3_12_0,False
92,Benign,blosum62,3085,30727,51200,0.8_3_12_0.005,False
93,Benign,blosum62,856,30727,6400,0.9_3_12_0.05,False
94,Benign,blosum62,548,30727,1600,0.9_3_12_0,False
95,Benign,blosum62,705,30727,3200,0.9_3_12_0.05,False
96,Benign,blosum62,529,30727,1600,0.9_3_12_0.2,False
97,Benign,blosum62,774,30727,1600,0.8_3_12_0,False
98,Benign,blosum62,3508,30727,6400,0.7_3_12_0.05,False
99,Benign,blosum62,544,30727,1600,0.9_3_12_0.1,False
100,Benign,blosum62,2209,30727,1600,0.7_3_12_0.005,False
101,Benign,blosum62,2992,30727,3200,0.7_3_12_0.05,False
102,Benign,blosum62,429,30727,800,0.8_3_12_0.05,False
103,Benign,blosum62,1286,30727,51200,0.9_3_12_0.05,False
